Mean_Thick;Max_Thick;SD_Thick;Weight;Surf_Plat;Surf_Plat_II;Plat_Depth;Cortex;Cortex_Loc;No_Scars;Long_Ridges;EPA;IPA
 7,333333; 8,8;1,22565175; 7,40; 45,780000; 91,56; 4,2;5;5;2;1; 69;105
 5,400000; 6,9;1,09848380; 5,16; 28,885000; 57,77; 5,3;5;5;3;0; 69;100
10,366667;12,2;1,92930615; 9,36;208,440000;301,32;10,8;5;5;3;0; 65;115
 5,266667; 6,8;1,30979218; 4,05;105,494681;134,32; 7,3;5;5;0;0; 86; 92
 5,066667; 6,0;0,87305339; 3,97; 65,325000; 88,40; 6,5;5;5;4;0; 83;100
10,666667;14,1;3,41987654;19,61; 70,980000;141,96; 9,1;4;3;2;0; 75;101
 5,766667; 7,6;1,30213500; 3,82; 72,365000; 82,41; 4,1;3;2;2;0; 69;112
 3,566667; 5,3;1,24988888; 2,01; 48,635000; 97,27; 7,1;5;5;3;0; 78; 92
 6,933333; 8,2;0,95335664; 6,05; 47,850000; 95,70; 8,7;2;2;1;0; 90; 89
10,700000;15,4;4,25284219;17,17; 75,650000;151,30; 8,5;3;2;2;0; 62;120
18,066667;25,1;5,30178167;35,31; 84,000000;168,00;10,5;5;5;3;0; 58;128
 8,433333;10,6;1,98718114; 4,62;122,760000;245,52;12,4;5;5;2;1; 59;122
 9,866667;12,6;2,33285709; 7,84; 41,160000; 82,32; 4,9;1;1;0;0; 44;128
 5,400000; 6,1;0,57154761; 3,92; 22,425000; 44,85; 3,9;5;5;3;0; 66;109
11,166667;12,8;2,10132233;11,11;152,750000;305,50;13,0;2;2;2;0; 72;118
 8,000000;10,8;2,72885813;10,98; 93,500000;187,00;10,0;5;5;2;0; 64;119
 4,166667; 4,6;0,36817870; 2,50; 26,389378; 33,60; 3,5;4;3;2;1; 70;108
11,433333;16,0;4,23188952;16,82; 29,700000; 59,40; 5,5;5;5;3;0; 54;125
 8,000000;10,3;2,21960958;11,37; 31,600000; 46,40; 4,0;5;5;5;0; 65;110
12,600000;15,2;2,04613457;17,24;145,600000;188,37; 9,1;2;3;2;0; 74;111
11,500000;13,3;2,26862660;18,95; 90,900000;181,80; 9,0;5;5;2;0; 65;105
 4,666667; 5,3;0,69442222; 2,28; 34,320000; 68,64; 6,6;4;3;2;0; 71; 99
 6,300000; 7,1;0,86409876; 3,12; 24,000000; 48,00; 4,8;5;5;3;0; 60;109
10,366667;13,7;3,06521705;17,77;118,300000;236,60;13,0;5;5;4;0; 66;114
 7,800000; 8,7;0,73484692; 3,12;  7,770000; 15,54; 3,7;5;5;2;1; 53;115
 9,500000;11,4;2,14631467; 7,78;100,450000;142,10; 9,8;5;5;3;0; 85; 94
 6,833333; 7,5;0,67986927; 4,71;  7,775442;  9,90; 2,2;2;2;1;0; 76;100
 7,266667; 9,1;1,60069429; 5,55; 71,225000;142,45; 7,7;4;3;2;0; 75;104
 4,633333; 5,3;0,49888765; 3,20; 12,566371; 16,00; 2,5;4;3;2;0; 74;104
10,200000;12,1;1,90262976; 8,05;139,500000;194,00;10,0;3;2;2;0; 71;103
 7,600000; 9,0;1,57480157; 4,90; 97,193023;123,75; 7,5;2;2;1;0; 59;100
 9,700000;12,8;2,35372046; 4,66; 13,634512; 17,36; 2,8;3;3;2;0; 79;108
13,266667;21,5;6,61630981;18,39; 86,275000;172,55; 8,5;2;3;2;0; 61;120
13,033333;14,9;2,36267269;15,49; 27,881635; 35,50; 5,0;2;2;1;0; 85; 90
11,100000;12,3;1,02306728; 9,32; 62,494132; 79,57; 7,3;5;5;3;0; 77;100
 6,733333; 7,1;0,51854497; 4,38; 50,750000;101,50; 7,0;2;2;1;0; 63;102
 7,666667; 9,3;1,48847424; 4,70; 39,865000; 79,73; 6,7;5;5;2;0; 71;105
 5,233333; 6,8;1,19536141; 4,41; 16,625000; 33,25; 2,5;5;5;3;0; 85;105
